date,fix_mid,intrinsic_v1,intrinsic_v2,naive_rw,err_v2,err_rw,ret_basket,kf_state
2021-01-26,2.6994,2.7001682941917413,2.703809860726447,2.7005,-0.004409860726447334,-0.001100000000000101,-0.0001228388009063276,0.0036415665347060092
2021-01-27,2.7069,2.6992046733571056,2.704464417004278,2.6994,0.0024355829957221076,0.007500000000000284,-7.236189897111969e-05,0.005259743647172578
2021-01-28,2.7042,2.7062922016340343,2.7102785715588555,2.7069,-0.0060785715588553835,-0.0026999999999999247,-0.00022456190206461077,0.0039863699248213515
2021-01-29,2.7,2.7045912053105003,2.7117434521577293,2.7042,-0.011743452157729095,-0.0041999999999999815,0.00014465535693010593,0.007152246847229142
2021-02-01,2.7105,2.6996477860963712,2.7095045463262193,2.7,0.000995453673780844,0.010499999999999954,-0.00013045810322501623,0.00985676022984795
2021-02-02,2.718,2.7089952026423623,2.7175704787034674,2.7105,0.00042952129653262006,0.00749999999999984,-0.000555327513003807,0.008575276061104984
2021-02-03,2.7215,2.717470132980164,2.7208308879387677,2.718,0.0006691120612321022,0.0034999999999998366,-0.0001949663997965724,0.0033607549586040708
2021-02-04,2.7281,2.7194971172697393,2.7234303555557795,2.7215,0.0046696444442204665,0.006600000000000161,-0.0007362190339597473,0.003933238286040091
2021-02-05,2.725,2.727688307197192,2.7299333216479558,2.7281,-0.00493332164795568,-0.0030999999999998806,-0.0001509196399891357,0.0022450144507639453
2021-02-08,2.7233,2.725157615609417,2.7306638989927836,2.725,-0.007363898992783557,-0.0017000000000000348,5.7838917909256997e-05,0.005506283383366475
2021-02-09,2.7123,2.72123589950177,2.7258726479471442,2.7233,-0.0135726479471443,-0.01100000000000012,-0.0007582282990578038,0.004636748445374008
2021-02-10,2.7065,2.7111419958885206,2.715271416346165,2.7123,-0.008771416346164962,-0.005799999999999805,-0.00042703660515045356,0.004129420457644722
2021-02-11,2.7067,2.705712010211791,2.710274796637291,2.7065,-0.003574796637290767,0.00019999999999997797,-0.000291189551440321,0.004562786425499924
2021-02-12,2.7148,2.7036796419682627,2.7102581313301606,2.7067,0.0045418686698393,0.008099999999999774,-0.0011165051421048002,0.006578489361897947
2021-02-15,2.7083,2.7162416636378754,2.724603307010399,2.7148,-0.01630330701039906,-0.00649999999999995,0.0005308976660551707,0.008361643372523405
2021-02-16,2.7117,2.707634046081822,2.7184627394622654,2.7083,-0.006762739462265355,0.0034000000000000696,-0.0002459239406788019,0.010828693380443507
2021-02-17,2.7241,2.7118005401731926,2.7193114596331323,2.7117,0.004788540366867711,0.012399999999999967,3.70757493095838e-05,0.007510919459939477
2021-02-18,2.7169,2.723552452268438,2.732034052341272,2.7241,-0.015134052341271964,-0.007200000000000095,-0.00020102153659875934,0.008481600072833969
2021-02-19,2.7094,2.717132718895166,2.7303433190527904,2.7169,-0.020943319052790343,-0.00749999999999984,8.565237176399825e-05,0.013210600157624555
2021-02-22,2.7068,2.7084246916262114,2.722665289720088,2.7094,-0.01586528972008816,-0.0026000000000001577,-0.00036003689297355013,0.014240598093876747
2021-02-23,2.7069,2.706391924016149,2.7245835036963038,2.7068,-0.01768350369630367,0.00010000000000021103,-0.00015077092789325745,0.018191579680154717
2021-02-24,2.7116,2.70602478895641,2.72046432788943,2.7069,-0.008864327889430257,0.004699999999999704,-0.0003233782420190589,0.014439538933019925
2021-02-25,2.6989,2.708965338825554,2.718505622938224,2.7116,-0.019605622938223988,-0.012699999999999712,-0.0009720983761782515,0.009540284112670248
2021-02-26,2.7152,2.6990592572004104,2.7104451423834997,2.6989,0.0047548576165001855,0.01629999999999976,5.9006447758645615e-05,0.01138588518308904
2021-03-01,2.726,2.71545731218408,2.72413928010066,2.7152,0.001860719899339891,0.010800000000000143,9.476281395825531e-05,0.008681967916580026
2021-03-02,2.72845,2.7265417284860907,2.735577004925089,2.726,-0.007127004925088887,0.0024500000000000632,0.00019870677377595216,0.009035276438998145
2021-03-03,2.72825,2.728110172657673,2.7405531742413562,2.72845,-0.012303174241356185,-0.00019999999999997797,-0.00012455735188970346,0.012443001583683042
2021-03-04,2.73065,2.7291089241115998,2.737747576526804,2.72825,-0.007097576526803984,0.0023999999999997357,0.00031477648094467494,0.008638652415203816
2021-03-05,2.7464,2.7310380168665565,2.7397813483505136,2.73065,0.0066186516494863845,0.015750000000000153,0.00014208679295173713,0.008743331483957261
2021-03-08,2.75905,2.7426430466558753,2.75175897699469,2.7464,0.007291023005309594,0.012649999999999828,-0.0013688921361556493,0.009115930338814653
2021-03-09,2.757,2.758306573950949,2.766188390215632,2.75905,-0.009188390215631781,-0.002049999999999663,-0.0002694863177992861,0.00788181626468285
2021-03-10,2.75135,2.7580175096639628,2.7645835326017476,2.757,-0.013233532601747644,-0.005650000000000155,0.00036899599093731766,0.006566022937784808
2021-03-11,2.7449,2.7505800289503806,2.7609063979793507,2.75135,-0.016006397979350773,-0.006450000000000067,-0.00027989125655709945,0.010326369028970247
2021-03-12,2.75105,2.7430971554551853,2.755199942024345,2.7449,-0.0041499420243447105,0.006150000000000322,-0.0006570136822592629,0.012102786569159535
2021-03-15,2.7509,2.7503313629125445,2.7620717822085736,2.75105,-0.01117178220857351,-0.0001500000000000945,-0.0002612569622561364,0.011740419296029179
2021-03-16,2.7534,2.7498074755650546,2.761962518557595,2.7509,-0.008562518557595045,0.0024999999999999467,-0.00039723052140656315,0.012155042992540686
2021-03-17,2.75485,2.753507437637176,2.7651530879200665,2.7534,-0.010303087920066734,0.0014499999999997293,3.901922754510938e-05,0.011645650282890168
2021-03-18,2.75285,2.755178818521588,2.7671943119501754,2.75485,-0.014344311950175381,-0.0019999999999997797,0.00011935274126837183,0.01201549342858707
2021-03-19,2.75885,2.7537075353152076,2.7649889909743863,2.75285,-0.006138990974386527,0.005999999999999783,0.0003114596793515641,0.011281455659178517
2021-03-22,2.75435,2.7598509895853565,2.770299622096704,2.75885,-0.01594962209670392,-0.0044999999999997264,0.0003627627582008879,0.010448632511347672
2021-03-23,2.7625,2.7541633822852547,2.768194594560742,2.75435,-0.005694594560741617,0.008150000000000102,-6.775610836027005e-05,0.014031212275487101
2021-03-24,2.77095,2.761722352961544,2.7714873629706784,2.7625,-0.0005373629706784122,0.008449999999999847,-0.00028154081928878324,0.00976501000913479
2021-03-25,2.77405,2.7720724520757125,2.7834198103526404,2.77095,-0.009369810352640506,0.0030999999999998806,0.0004049964079199028,0.011347358276927755
